Name,RA(hh mm ss.s),Dec(dd mm ss.s),RA(deg),Dec(deg),Nufnu (erg cm^-2 s^-1),Frequency (Hz),Source Data,Start Time <br/>(MJD),Stop Time <br/>(MJD),Start Time <br/>(YYYY-MM-DD hh:mm:ss UT),Stop Time <br/>(YYYY-MM-DD hh:mm:ss UT),Warning/Info
,05 09 26.00,+05 41 34.37,77.35832,5.69288,1.9299E-12+2.1229E-13/-2.1229E-13,4.836E17,DB,55538.3825,55538.394398,2010-12-08 09:10:48,2010-12-08 09:27:55,
,05 09 25.71,+05 41 34.85,77.35714,5.69301,5.5407E-13+1.1753E-13/-1.1753E-13,4.836E17,DB,55771.019676,55771.353449,2011-07-29 00:28:20,2011-07-29 08:28:57,
,05 09 26.10,+05 41 34.53,77.35875,5.69292,3.0462E-13+6.5961E-14/-6.5961E-14,4.836E17,DB,54882.387778,54882.465926,2009-02-20 09:18:24,2009-02-20 11:10:56,
,05 09 25.96,+05 41 35.39,77.35815,5.69316,4.9554E-13+4.8902E-14/-4.8902E-14,4.836E17,DB,55037.343299,55037.679132,2009-07-25 08:14:21,2009-07-25 16:17:57,
,05 09 26.73,+05 41 39.98,77.36138,5.69444,3.7494E-12+3.3931E-13/-3.3931E-13,4.836E17,DB,55663.381852,55663.390243,2011-04-12 09:09:52,2011-04-12 09:21:56,
