2.06093	0	0	2.54647e+07	0
3.36819	0	0	4.03588e+07	0
5.50466	0	0	6.39643e+07	0
8.99629	0	0	1.01377e+08	0
14.7027	0	0	1.60671e+08	0
24.0287	0	0	2.54647e+08	0
39.2702	0	0	4.03588e+08	0
64.1796	0	0	6.39643e+08	0
104.889	0	0	1.01377e+09	0
171.421	0	0	1.60671e+09	0
280.154	0	0	2.54647e+09	0
457.857	0	0	4.03588e+09	0
748.279	0	0	6.39643e+09	0
1222.92	0	0	1.01377e+10	0
1998.62	0	0	1.60671e+10	0
3266.36	0	0	2.54647e+10	0
5338.23	0	0	4.03588e+10	0
8724.29	0	0	6.39643e+10	0
14258.2	0	0	1.01377e+11	0
23302.2	0	0	1.60671e+11	0
38082.9	0	0	2.54647e+11	0
62239.1	0	0	4.03588e+11	0
101718	0	0	6.39643e+11	0
166238	0	0	1.01377e+12	0
271684	0	0	1.60671e+12	0
444014	2.35629e-34	0	2.54647e+12	0
725655	3.90018e-34	0	4.03588e+12	0
1.18594e+06	4.59404e-34	7.54698e-74	6.39643e+12	0
1.93819e+06	5.41134e-34	2.48423e-73	1.01377e+13	0
3.1676e+06	6.37405e-34	5.53149e-73	1.60671e+13	0
5.17683e+06	7.50802e-34	1.07703e-72	2.54647e+13	0
8.46052e+06	8.84371e-34	1.96507e-72	4.03588e+13	0
1.38271e+07	1.0417e-33	3.45182e-72	6.39643e+13	0
2.25977e+07	1.22702e-33	5.92314e-72	1.01377e+14	0
3.69315e+07	1.4453e-33	1.00177e-71	1.60671e+14	0
6.03574e+07	1.7024e-33	1.67568e-71	2.54647e+14	0
9.86424e+07	2.00522e-33	2.78464e-71	4.03588e+14	0
1.61212e+08	2.3619e-33	4.60375e-71	6.39643e+14	0
2.63469e+08	2.78199e-33	7.58458e-71	1.01377e+15	0
4.3059e+08	3.27673e-33	1.24726e-70	1.60671e+15	0
7.03715e+08	3.85937e-33	2.04524e-70	2.54647e+15	0
1.15009e+09	4.54548e-33	3.34983e-70	4.03588e+15	0
1.87959e+09	5.35333e-33	5.47666e-70	6.39643e+15	0
3.07183e+09	6.30439e-33	8.94749e-70	1.01377e+16	0
5.02031e+09	7.42378e-33	1.45842e-69	1.60671e+16	0
8.20472e+09	8.74094e-33	2.37198e-69	2.54647e+16	0
1.3409e+10	1.02901e-32	3.84858e-69	4.03588e+16	0
2.19144e+10	1.21113e-32	6.21952e-69	6.39643e+16	0
3.58149e+10	1.42503e-32	9.99447e-69	1.01377e+17	0
5.85325e+10	1.67599e-32	1.59399e-68	1.60671e+17	0
9.566e+10	1.96997e-32	2.5172e-68	2.54647e+17	0
1.56338e+11	2.31361e-32	3.92072e-68	4.03588e+17	0
2.55504e+11	2.71404e-32	6.00808e-68	6.39643e+17	0
4.17571e+11	3.17862e-32	9.03092e-68	1.01377e+18	0
6.82439e+11	3.7143e-32	1.32973e-67	1.60671e+18	0
1.11531e+12	4.32641e-32	1.91299e-67	2.54647e+18	0
1.82276e+12	5.0167e-32	2.62611e-67	4.03588e+18	0
2.97895e+12	5.77996e-32	3.39154e-67	6.39643e+18	0
4.86852e+12	6.59855e-32	4.19669e-67	1.01377e+19	0
7.95665e+12	7.43436e-32	5.0754e-67	1.60671e+19	0
1.30036e+13	8.21781e-32	6.06539e-67	2.54647e+19	0
2.12519e+13	8.83641e-32	7.2029e-67	4.03588e+19	0
3.4732e+13	9.13146e-32	8.52425e-67	6.39643e+19	0
5.67628e+13	8.92249e-32	1.00611e-66	1.01377e+20	0
9.27677e+13	8.08571e-32	1.18671e-66	1.60671e+20	0
1.51611e+14	6.67983e-32	1.39874e-66	2.54647e+20	0
2.47779e+14	5.01089e-32	1.64747e-66	4.03588e+20	0
4.04946e+14	3.48164e-32	1.94111e-66	6.39643e+20	0
6.61805e+14	2.32308e-32	2.2853e-66	1.01377e+21	0
1.08159e+15	1.53099e-32	2.69149e-66	1.60671e+21	0
1.76765e+15	1.00652e-32	3.16807e-66	2.54647e+21	0
2.88889e+15	6.60698e-33	3.72879e-66	4.03588e+21	0
4.72132e+15	4.32592e-33	4.38739e-66	6.39643e+21	0
7.71608e+15	2.82014e-33	5.15979e-66	1.01377e+22	0
1.26104e+16	1.82519e-33	6.06652e-66	1.60671e+22	0
2.06093e+16	1.16733e-33	7.12705e-66	2.54647e+22	0
3.36819e+16	7.32745e-34	8.36381e-66	4.03588e+22	0
5.50466e+16	4.47238e-34	9.8072e-66	6.39643e+22	0
8.99629e+16	2.6253e-34	1.1486e-65	1.01377e+23	0
1.47027e+17	1.46744e-34	1.3428e-65	1.60671e+23	0
2.40287e+17	7.77144e-35	1.56586e-65	2.54647e+23	0
3.92702e+17	3.89826e-35	1.82079e-65	4.03588e+23	0
6.41796e+17	1.84176e-35	2.11008e-65	6.39643e+23	0
1.04889e+18	7.98742e-36	2.43329e-65	1.01377e+24	0
1.71421e+18	3.01349e-36	2.79124e-65	1.60671e+24	0
2.80154e+18	9.1123e-37	3.17717e-65	2.54647e+24	0
4.57857e+18	1.9797e-37	3.58308e-65	4.03588e+24	0
7.48279e+18	2.68219e-38	3.99618e-65	6.39643e+24	0
1.22292e+19	1.85386e-39	4.39872e-65	1.01377e+25	0
1.99862e+19	4.74836e-41	4.7562e-65	1.60671e+25	0
3.26636e+19	2.54028e-43	5.04266e-65	2.54647e+25	0
5.33823e+19	9.69585e-47	5.21377e-65	4.03588e+25	0
8.72429e+19	4.44269e-52	5.23657e-65	6.39643e+25	0
1.42582e+20	1.45679e-60	5.08312e-65	1.01377e+26	0
